select_model_id,select_regDate,select_mile,select_partition_month,city,car_id
1147417,2018/6/15,3.219,2019/11/22,陕西,46350
1147417,2018/6/15,3.4482,2019/11/22,陕西,46351
1147417,2018/6/14,5.8189,2019/11/22,陕西,46355
1147417,2018/6/14,4.5147,2019/11/22,宁夏,46357
1147417,2018/9/5,3.5582,2019/11/22,陕西,46358
1147417,2018/6/14,7.1887,2019/11/22,甘肃,46359
1147417,2018/6/14,8.1714,2019/11/22,宁夏,46360
1147417,2018/6/15,6.2584,2019/11/22,宁夏,46365
1147417,2018/6/14,6.5331,2019/11/22,甘肃,46366
1147417,2018/6/14,7.3124,2019/11/22,甘肃,46367
1147417,2018/6/15,7.4776,2019/11/22,甘肃,46368
1147417,2018/9/5,6.0725,2019/11/22,甘肃,46371
1147417,2018/6/14,6.2224,2019/11/22,甘肃,46372
1147417,2018/6/15,3.098,2019/11/22,宁夏,46373
1147417,2018/6/14,7.0783,2019/11/22,内蒙古,46374
1147417,2018/9/5,6.1185,2019/11/22,陕西,46376
1147417,2018/9/5,5.8867,2019/11/22,甘肃,46383
1147417,2018/9/5,2.7738,2019/11/22,甘肃,46385
1147417,2018/6/14,7.4919,2019/11/22,甘肃,46386
1147417,2018/6/14,5.3181,2019/11/22,甘肃,46387
1147417,2018/9/5,3.149,2019/11/22,甘肃,46393
1147417,2018/6/1,4.6309,2019/11/22,陕西,46396
1147417,2018/9/5,3.9436,2019/11/22,甘肃,46398
1147417,2018/9/5,6.0243,2019/11/22,甘肃,46399
1147417,2018/9/5,5.533,2019/11/22,甘肃,46400
1147417,2018/9/5,5.1498,2019/11/22,甘肃,46401
1147417,2018/6/14,4.1261,2019/11/22,湖北,46410
1147417,2018/8/31,3.9229,2019/11/22,湖南,46437
1147417,2018/6/14,5.3778,2019/11/22,湖南,46443
1147417,2018/6/14,5.7813,2019/11/22,湖南,46447
1147417,2018/6/14,5.3769,2019/11/22,湖南,46454
1147417,2018/6/14,5.0111,2019/11/22,湖北,46455
1147417,2018/6/14,5.8317,2019/11/22,湖北,46456
1147417,2018/6/14,5.1567,2019/11/22,湖南,46457
1147417,2018/8/31,3.8314,2019/11/22,湖南,46466
1147417,2018/6/14,5.5853,2019/11/22,湖南,46475
1147417,2018/8/31,4.6986,2019/11/22,湖南,46497
1147417,2018/8/31,4.4058,2019/11/22,湖南,46498
1147417,2018/6/14,5.2237,2019/11/22,湖北,46521
1147417,2018/6/14,5.0302,2019/11/22,湖南,46525
1147417,2018/6/12,5.2615,2019/11/22,重庆,46530
1147417,2018/9/3,3.5266,2019/11/22,四川,46534
1147417,2018/6/13,4.4676,2019/11/22,四川,46536
1147417,2018/6/13,4.1169,2019/11/22,四川,46538
1147417,2018/9/3,4.6279,2019/11/22,四川,46539
1147417,2018/6/13,4.7795,2019/11/22,四川,46540
1147417,2018/9/3,4.8079,2019/11/22,四川,46544
1147417,2018/9/3,4.0769,2019/11/22,四川,46545
1147417,2018/6/13,5.4878,2019/11/22,重庆,46547
1147417,2018/9/3,3.8787,2019/11/22,四川,46552
1147417,2018/9/3,3.1693,2019/11/22,四川,46553
1147417,2018/9/28,4.1184,2019/11/22,重庆,46557
1147417,2018/9/3,3.553,2019/11/22,重庆,46560
1147417,2018/9/3,4.6577,2019/11/22,重庆,46561
1147417,2018/9/3,2.4158,2019/11/22,四川,46562
1147417,2018/9/3,2.6711,2019/11/22,四川,46564
1147417,2018/6/13,5.8764,2019/11/22,四川,46568
1147417,2018/9/3,4.9921,2019/11/22,四川,46569
1147417,2018/9/3,4.8282,2019/11/22,四川,46572
1147417,2018/9/3,3.9102,2019/11/22,四川,46573
1147417,2018/6/13,4.2988,2019/11/22,四川,46574
1147417,2018/6/13,4.3271,2019/11/22,四川,46575
1147417,2018/9/3,6.3807,2019/11/22,贵州,46577
1147417,2018/9/3,3.8565,2019/11/22,重庆,46579
1147417,2018/9/3,4.7931,2019/11/22,四川,46581
1147417,2018/6/13,5.208,2019/11/22,四川,46583
1147417,2018/6/13,3.2715,2019/11/22,四川,46585
1147417,2018/9/3,4.9244,2019/11/22,四川,46586
1147417,2018/9/3,5.2023,2019/11/22,重庆,46588
1147417,2018/9/3,3.379,2019/11/22,四川,46591
1147417,2018/6/13,4.9329,2019/11/22,四川,46592
1147417,2018/9/3,3.7917,2019/11/22,四川,46593
1147417,2018/9/3,4.2206,2019/11/22,四川,46601
1147417,2018/6/12,5.4042,2019/11/22,四川,46602
1147417,2018/6/13,4.4597,2019/11/22,四川,46603
1147417,2018/6/13,4.1682,2019/11/22,四川,46606
1147417,2018/6/13,5.44,2019/11/22,重庆,46608
1147417,2018/6/13,5.1427,2019/11/22,重庆,46611
1147417,2018/9/3,3.2635,2019/11/22,四川,46613
1147417,2018/6/13,4.6028,2019/11/22,四川,46614
1147417,2018/9/3,3.9126,2019/11/22,四川,46617
1147417,2018/9/3,4.3025,2019/11/22,四川,46621
1147417,2018/6/13,3.8065,2019/11/22,四川,46623
1147417,2018/9/3,4.4074,2019/11/22,四川,46624
1147417,2018/9/3,4.8214,2019/11/22,四川,46625
1147417,2018/6/13,5.1191,2019/11/22,四川,46628
1147417,2018/9/3,3.8313,2019/11/22,四川,46633
1147417,2018/9/3,4.4245,2019/11/22,四川,46635
1147417,2018/9/3,5.524,2019/11/22,四川,46638
1147417,2018/9/3,3.2209,2019/11/22,云南,46639
1147417,2018/9/3,4.1333,2019/11/22,四川,46640
1147417,2018/9/3,4.6381,2019/11/22,重庆,46641
1147417,2018/6/13,6.6341,2019/11/22,四川,46649
1147417,2018/6/13,4.7376,2019/11/22,重庆,46654
1147417,2018/6/13,3.5201,2019/11/22,重庆,46655
1147417,2018/6/13,4.5881,2019/11/22,四川,46657
1147417,2018/6/13,5.8997,2019/11/22,四川,46658
1147417,2018/6/13,3.7116,2019/11/22,重庆,46659
1147417,2018/6/13,5.0628,2019/11/22,四川,46660
1147417,2018/6/13,5.9818,2019/11/22,四川,46661
1147417,2018/9/3,3.6583,2019/11/22,四川,46667
1147417,2018/6/12,3.6306,2019/11/22,四川,46668
1147417,2018/6/13,3.8259,2019/11/22,四川,46670
1147417,2018/6/13,5.0407,2019/11/22,四川,46671
1147417,2018/9/3,5.0783,2019/11/22,四川,46672
1147417,2018/9/3,3.3506,2019/11/22,四川,46673
1147417,2018/9/3,5.0223,2019/11/22,四川,46674
1147417,2018/6/13,5.6963,2019/11/22,四川,46679
1147417,2018/6/13,5.724,2019/11/22,四川,46680
1147417,2018/6/13,5.2144,2019/11/22,四川,46681
1147417,2018/6/13,6.3139,2019/11/22,四川,46682
1147417,2018/6/13,6.5033,2019/11/22,四川,46683
1147417,2018/6/13,4.9508,2019/11/22,四川,46684
1147417,2018/6/13,6.247,2019/11/22,四川,46686
1147417,2018/9/3,3.1396,2019/11/22,四川,46689
1147417,2018/6/12,4.4893,2019/11/22,四川,46691
1147417,2018/6/12,4.8896,2019/11/22,重庆,46692
1147417,2018/6/12,4.3857,2019/11/22,四川,46693
1147417,2018/6/13,4.2711,2019/11/22,四川,46696
1147417,2018/9/3,4.781,2019/11/22,四川,46697
1147417,2018/6/12,4.4879,2019/11/22,四川,46698
1147417,2018/6/13,4.8047,2019/11/22,云南,46699
1147417,2018/6/12,4.1431,2019/11/22,四川,46706
28299,2018/1/29,3.8307,2019/11/22,安徽,47148
28299,2018/1/9,7.3343,2019/11/22,河北,47434
23527,2016/2/1,9.2611,2019/11/22,湖北,54330
24638,2016/12/6,7.7567,2019/11/22,四川,54735
24638,2016/9/27,8.9417,2019/11/22,河南,54834
24638,2016/9/27,9.3539,2019/11/22,河南,54836
24638,2016/11/23,8.9653,2019/11/22,浙江,54861
24638,2016/11/23,9.2231,2019/11/22,浙江,54864
24638,2016/11/23,8.0433,2019/11/22,浙江,54879
24638,2016/11/23,9.0224,2019/11/22,浙江,54880
24638,2016/11/22,8.2791,2019/11/22,浙江,54891
24638,2016/9/28,9.6391,2019/11/22,河北,55088
24638,2016/9/26,8.9774,2019/11/22,四川,55540
24638,2016/12/6,7.4288,2019/11/22,四川,55542
24638,2016/12/14,7.9063,2019/11/22,云南,55654
29777,2016/12/28,6.0795,2019/11/22,浙江,55710
29777,2016/12/23,6.4549,2019/11/22,浙江,55712
29779,2016/9/9,12.7993,2019/11/22,四川,55880
29777,2016/7/27,17.3536,2019/11/22,陕西,55911
27731,2018/1/3,3.3837,2019/11/22,云南,56150
1126870,2018/6/12,4.6408,2019/11/22,四川,57789
1126870,2018/6/12,4.4874,2019/11/22,四川,57842
1126870,2018/6/12,4.7785,2019/11/22,重庆,57855
1126870,2018/6/12,5.5521,2019/11/22,四川,57861
1126870,2018/6/14,3.9496,2019/11/22,陕西,58006
1126870,2018/6/20,4.8621,2019/11/22,黑龙江,58107
1126870,2018/6/19,6.7418,2019/11/22,云南,58141
1126870,2018/6/27,3.3917,2019/11/22,山西,58183
1126870,2018/7/29,4.1899,2019/11/22,山西,58293
1126870,2018/6/29,6.5024,2019/11/22,新疆,58307
1126870,2018/6/29,7.4603,2019/11/22,山西,58309
1126870,2018/6/29,6.5337,2019/11/22,新疆,58315
1126870,2018/6/29,6.9478,2019/11/22,山西,58318
1126870,2018/6/29,5.3847,2019/11/22,山西,58323
1126870,2018/7/2,7.4747,2019/11/22,新疆,58327
1126870,2018/6/26,7.6138,2019/11/22,山西,58403
1126870,2018/7/3,3.7947,2019/11/22,山西,58460
1126870,2018/6/29,6.0495,2019/11/22,甘肃,58463
1126870,2018/7/2,7.0502,2019/11/22,甘肃,58471
1126870,2018/7/4,4.8645,2019/11/22,重庆,58496
1126870,2018/7/6,4.2025,2019/11/22,湖南,58662
1126870,2018/8/31,4.1312,2019/11/22,广东,58873
1126870,2018/8/31,3.8523,2019/11/22,黑龙江,58875
1126870,2018/9/2,3.867,2019/11/22,四川,58960
1126870,2018/9/2,4.4132,2019/11/22,四川,58964
1126870,2018/9/2,4.6582,2019/11/22,重庆,58979
1126870,2018/9/12,5.2378,2019/11/22,甘肃,59341
1126870,2018/9/12,5.4333,2019/11/22,陕西,59372
1126870,2018/9/20,4.5756,2019/11/22,重庆,59613
1126870,2018/9/21,2.9476,2019/11/22,河南,59634
1126870,2018/9/25,4.8845,2019/11/22,河南,59643
1126870,2018/9/25,3.4538,2019/11/22,甘肃,59650
